Model,Accuracy,Precision,Recall,F1,ROC_AUC
CatBoost,0.9475,0.9166666666666666,0.8820754716981132,0.8990384615384616,0.9826161596714158
XGBoost,0.945,0.9077669902912622,0.8820754716981132,0.8947368421052632,0.9800250288794763
LightGBM,0.9425,0.915,0.8632075471698113,0.8883495145631068,0.977506096778334
Logistic Regression,0.925,0.88,0.8301886792452831,0.8543689320388349,0.9774338980875369
Gradient Boosting,0.94375,0.9195979899497487,0.8632075471698113,0.8905109489051095,0.9773576883583621
SVM (RBF),0.935,0.9040404040404041,0.8443396226415094,0.8731707317073171,0.9704386471569759
Random Forest,0.925,0.8838383838383839,0.8254716981132075,0.8536585365853658,0.9683890065460147
AdaBoost,0.91625,0.8606965174129353,0.8160377358490566,0.837772397094431,0.9653125401103837
Extra Trees,0.91375,0.8666666666666667,0.7971698113207547,0.8304668304668305,0.9579322294955718
KNN,0.89,0.81,0.7641509433962265,0.7864077669902912,0.9198634642536259
Decision Tree,0.905,0.8333333333333334,0.8018867924528302,0.8173076923076923,0.8720318316005647
