iter	Logloss
0	0.6716382599
1	0.6510479736
2	0.6302819061
3	0.6109287262
4	0.5905989075
5	0.5736632156
6	0.5561919403
7	0.5395075989
8	0.5264134216
9	0.513842392
10	0.5003115845
11	0.4862045288
12	0.4745693207
13	0.4635140228
14	0.4530860901
15	0.4425365067
16	0.4333673859
17	0.422826767
18	0.4133036041
19	0.4051285172
20	0.3975935364
21	0.3899377823
22	0.3818701935
23	0.3749182129
24	0.3674389648
25	0.3612953568
26	0.3556789017
27	0.3503987122
28	0.3449475479
29	0.3389600754
30	0.3336289978
31	0.3281813812
32	0.3236209488
33	0.3182523727
34	0.3139666748
35	0.3094152451
36	0.3048577118
37	0.3011465645
38	0.2969480515
39	0.2939470291
40	0.2906775856
41	0.2879579353
42	0.2849054718
43	0.2807296753
44	0.2781863213
45	0.2747984314
46	0.2720778465
47	0.2694065666
48	0.2664614105
49	0.2643911743
50	0.261818428
51	0.2593990326
52	0.2570517731
53	0.2547441483
54	0.2533596039
55	0.2522633553
56	0.2504862022
57	0.2483621979
58	0.2463510323
59	0.2445954514
60	0.243170433
61	0.2411048508
62	0.2391987419
63	0.2374678802
64	0.2354467392
65	0.2339636993
66	0.2319414711
67	0.2301371574
68	0.2283470535
69	0.2270401382
70	0.2251936913
71	0.2241165543
72	0.2228045273
73	0.2209461594
74	0.2199894333
75	0.218782959
76	0.2178001022
77	0.2171051407
78	0.2158562279
79	0.2147890854
80	0.2136263657
81	0.212235527
82	0.2112373161
83	0.2103201675
84	0.2092840004
85	0.2083240509
86	0.207475853
87	0.2063791466
88	0.2052416611
89	0.2045589638
90	0.2037486839
91	0.2025011444
92	0.2015260315
93	0.2007690048
94	0.1998788643
95	0.1991714668
96	0.1981839943
97	0.1971508026
98	0.1965150452
99	0.1954652214
100	0.1948068237
101	0.1938607025
102	0.1927568436
103	0.1919611549
104	0.1909056473
105	0.1901000977
106	0.1896962166
107	0.1888602066
108	0.1883634186
109	0.1878302765
110	0.1868954468
111	0.1858366966
112	0.1850602531
113	0.184579525
114	0.1839308929
115	0.1828646469
116	0.1822165298
117	0.1817044067
118	0.1812782669
119	0.1805822754
120	0.1798064995
121	0.1793505287
122	0.1788737869
123	0.1782088661
124	0.1777754974
125	0.1770858192
126	0.1764647865
127	0.175916481
128	0.1753195572
129	0.1747809982
130	0.1743467331
131	0.1738337326
132	0.1733914566
133	0.1726895332
134	0.1723989868
135	0.1719735527
136	0.1713925362
137	0.1710834312
138	0.1703697395
139	0.169857502
140	0.1692019653
141	0.1686128616
142	0.1682494736
143	0.1676869583
144	0.1671199799
145	0.1665162277
146	0.1659923172
147	0.1656389236
148	0.1651257324
149	0.1647869873
150	0.1643716431
151	0.1640469742
152	0.1634551239
153	0.1628767204
154	0.1624524307
155	0.1619292068
156	0.1613374329
157	0.1610798836
158	0.1604816437
159	0.1602110672
160	0.1598101997
161	0.1593582726
162	0.159012661
163	0.1586069679
164	0.1580580807
165	0.1575312519
166	0.1572131348
167	0.1564725971
168	0.1562692833
169	0.1557832718
170	0.1553617096
171	0.1548255539
172	0.1542639923
173	0.1537696362
174	0.1530857468
175	0.1524324799
176	0.1521209145
177	0.1518626118
178	0.1514432812
179	0.1509577179
180	0.1506775761
181	0.1503732872
182	0.1500804329
183	0.1495315456
184	0.1492598343
185	0.1486722755
186	0.1482808018
187	0.1478973961
188	0.1472784996
189	0.1469389915
190	0.1467692184
191	0.146567049
192	0.1464582634
193	0.1460952187
194	0.1459042549
195	0.1456806183
196	0.1454573059
197	0.1448931122
198	0.1444977188
199	0.1441889858
200	0.1438387108
201	0.1434937191
202	0.1432549191
203	0.1429050732
204	0.1428686047
205	0.1425762177
206	0.1423587513
207	0.1418511486
208	0.1415591621
209	0.1412436008
210	0.1409211254
211	0.1407173347
212	0.1405673027
213	0.1401961136
214	0.1399850464
215	0.1398400307
216	0.1397073936
217	0.1394518757
218	0.139053154
219	0.1386879921
220	0.1383619881
221	0.1381540298
222	0.1378996086
223	0.1377064323
224	0.1375920868
225	0.137474699
226	0.1372904682
227	0.1369856739
228	0.1369001579
229	0.136442728
230	0.136147747
231	0.1360223293
232	0.135737133
233	0.1354794407
234	0.1351191425
235	0.1348247433
236	0.1346838951
237	0.134523983
238	0.134297533
239	0.1340848923
240	0.1339660072
241	0.1336435223
242	0.1334682846
243	0.1333189011
244	0.1330732346
245	0.1327860641
246	0.1326119232
247	0.1320917225
248	0.1318421841
249	0.1315738773
250	0.1312359238
251	0.131073637
252	0.1308262825
253	0.1304560089
254	0.1302015877
255	0.1300312233
256	0.129786129
257	0.1295442486
258	0.1292446232
259	0.1288524151
260	0.1285560322
261	0.1283982086
262	0.1282209587
263	0.1279673767
264	0.1276436138
265	0.1273635101
266	0.1271871471
267	0.1269926739
268	0.1268027306
269	0.1266167164
270	0.1263717556
271	0.1261861992
272	0.1260560417
273	0.1258452797
274	0.1254867268
275	0.1253274918
276	0.1251027107
277	0.1248427582
278	0.1245110512
279	0.1242752266
280	0.1238908482
281	0.1234893799
282	0.1233652496
283	0.1232080269
284	0.1228722763
285	0.1227896881
286	0.1225900841
287	0.1223846245
288	0.1221283722
289	0.1219010925
290	0.121675148
291	0.1215721703
292	0.1214484024
293	0.1213565254
294	0.1210269356
295	0.1208894634
296	0.120641346
297	0.1204564857
298	0.1200828743
299	0.1199298286
300	0.1196743584
301	0.119512434
302	0.1193503189
303	0.1192183018
304	0.1190129471
305	0.1187888527
306	0.1186183643
307	0.1184035492
308	0.1181098175
309	0.1179601669
310	0.1176656055
311	0.1175319576
312	0.117303772
313	0.117083168
314	0.1169693279
315	0.1168001175
316	0.1164953136
317	0.1163832664
318	0.1162707329
319	0.116121664
320	0.1160426903
321	0.1159558296
322	0.1157496548
323	0.115633316
324	0.1153736115
325	0.1153172493
326	0.114909668
327	0.1147247791
328	0.1146366692
329	0.1144598103
330	0.1141735458
331	0.114101305
332	0.1138793945
333	0.113694706
334	0.1134856224
335	0.1131932545
336	0.1129349136
337	0.11283041
338	0.1127132893
339	0.1125321102
340	0.1123422432
341	0.1121214485
342	0.111923008
343	0.1116605377
344	0.1114908409
345	0.1114415455
346	0.1113686466
347	0.1112368584
348	0.1111060333
349	0.1109783077
350	0.110896244
351	0.1107941055
352	0.1106118011
353	0.1104408264
354	0.110383091
355	0.110258522
356	0.110110178
357	0.1099442673
358	0.1097851372
359	0.1096338749
360	0.1095126534
361	0.1093250275
362	0.1091083908
363	0.1089150715
364	0.1087869072
365	0.1087232971
366	0.1086445522
367	0.1084367943
368	0.1082559204
369	0.1082034397
370	0.1080201721
371	0.1078600311
372	0.1076962852
373	0.107563076
374	0.1073511314
375	0.1072718811
376	0.1071869278
377	0.1070355988
378	0.1069492912
379	0.1067949295
380	0.1065869236
381	0.1064881897
382	0.1063191605
383	0.1061455727
384	0.1059105301
385	0.1057483768
386	0.1056037045
387	0.1054148102
388	0.1052479362
389	0.1050583172
390	0.1048759937
391	0.1047171307
392	0.1045190525
393	0.1044361973
394	0.1042982674
395	0.1041908455
396	0.1040595913
397	0.1038241577
398	0.1037354279
399	0.1036154938
400	0.1034294033
401	0.1033365917
402	0.1032365704
403	0.1031712723
404	0.1028914833
405	0.1028046989
406	0.1026338005
407	0.1025016499
408	0.1024242783
409	0.1022594833
410	0.1020599747
411	0.1018861294
412	0.1018107033
413	0.1016627789
414	0.1014549637
415	0.10135952
416	0.1011809921
417	0.1010971642
418	0.1010156155
419	0.1008958244
420	0.1008221817
421	0.1007080555
422	0.1005847549
423	0.1005347538
424	0.1003781509
425	0.1002432632
426	0.100077343
427	0.09984667778
428	0.09966263771
429	0.09951559067
430	0.0993238163
431	0.09923985481
432	0.09911237717
433	0.09899879456
434	0.09889225006
435	0.0987374115
436	0.09865785599
437	0.09856700897
438	0.09834699631
439	0.09824272156
440	0.09808734894
441	0.09784146309
442	0.09775841713
443	0.09764772415
444	0.09750395775
445	0.09741285324
446	0.09734599113
447	0.09728635788
448	0.09713141441
449	0.09699391365
450	0.09676584244
451	0.09664024353
452	0.09644830704
453	0.09624509811
454	0.0960960865
455	0.09592082977
456	0.0957673645
457	0.09564308167
458	0.09546271324
459	0.09540056229
460	0.09521724701
461	0.09501678467
462	0.09494839668
463	0.09475921631
464	0.09457395554
465	0.09444256783
466	0.09431404114
467	0.09410840988
468	0.09398667336
469	0.09387491226
470	0.09378559113
471	0.09364881516
472	0.09345655441
473	0.09333398819
474	0.09322786331
475	0.09310241699
476	0.0928695488
477	0.09267438889
478	0.09250519753
479	0.09241931915
480	0.09235349655
481	0.09220758438
482	0.09214942932
483	0.09196567535
484	0.09191067696
485	0.09179514885
486	0.0916481781
487	0.09154863358
488	0.09143472672
489	0.09128166199
490	0.09117078781
491	0.0910256958
492	0.09093313217
493	0.09075529099
494	0.09067625046
495	0.09059770584
496	0.09048660278
497	0.09034160614
498	0.09022898674
499	0.09012501717
500	0.08988801956
501	0.08978179932
502	0.08970724106
503	0.08963558197
504	0.08949157715
505	0.08933044434
506	0.08919937134
507	0.08909722328
508	0.08894452095
509	0.08874653816
510	0.08861190796
511	0.0884010601
512	0.08823610306
513	0.08814016342
514	0.08795326233
515	0.08790444374
516	0.08779640198
517	0.08768753052
518	0.08750083923
519	0.0873849678
520	0.08728587151
521	0.08716945648
522	0.08712125778
523	0.0869609642
524	0.08688230515
525	0.08675667763
526	0.08670321465
527	0.08657125473
528	0.08649283409
529	0.08635827065
530	0.08620651245
531	0.08613050461
532	0.08602793694
533	0.08597600937
534	0.0858288765
535	0.08573587418
536	0.08567464828
537	0.08558753014
538	0.08550527573
539	0.08539587975
540	0.08521139145
541	0.08510004997
542	0.08502418518
543	0.08486467361
544	0.08479779243
545	0.0846649456
546	0.08458841324
547	0.08449128151
548	0.0844301796
549	0.08431678772
550	0.08425810814
551	0.08409807205
552	0.08397227287
553	0.08387047768
554	0.08376615524
555	0.08360980034
556	0.08349866867
557	0.08338668823
558	0.0832882309
559	0.08315591812
560	0.08309185982
561	0.08290475845
562	0.08281542778
563	0.08272694588
564	0.08266254425
565	0.08250265121
566	0.08244669914
567	0.08237443924
568	0.08229101181
569	0.08215185165
570	0.08202810287
571	0.08194139481
572	0.08181144714
573	0.08174114227
574	0.08167368889
575	0.08159926414
576	0.08151212692
577	0.08139280319
578	0.08132193565
579	0.08119251251
580	0.08101719856
581	0.08088177681
582	0.08076916695
583	0.08070198059
584	0.08055616379
585	0.08039086342
586	0.08026794434
587	0.08014615059
588	0.08007261276
589	0.07995006561
590	0.07984338284
591	0.07972727776
592	0.07964681625
593	0.07955571175
594	0.07949234962
595	0.07940508842
596	0.07927656651
597	0.07914295197
598	0.07907669544
599	0.07898967266
600	0.07889323235
601	0.07877876282
602	0.07865992546
603	0.0785828352
604	0.07852899075
605	0.07839823723
606	0.07836253643
607	0.07829710007
608	0.07820110321
609	0.078145504
610	0.07807565689
611	0.07795528889
612	0.07783725262
613	0.07773483276
614	0.07765357018
615	0.07755591869
616	0.07747702122
617	0.07737605095
618	0.07731578827
619	0.07725647449
620	0.07712550163
621	0.07707679272
622	0.0769618845
623	0.07683186531
624	0.07669471741
625	0.07664188862
626	0.07655907631
627	0.07642739296
628	0.07631341934
629	0.07623333931
630	0.0761426878
631	0.07605524063
632	0.07595971107
633	0.07585466862
634	0.07576425076
635	0.07565141678
636	0.07555040359
637	0.07542141914
638	0.07532619476
639	0.07526913643
640	0.07521519661
641	0.07513038158
642	0.07505647659
643	0.07498770237
644	0.07487905502
645	0.07478171349
646	0.07469703197
647	0.07459557533
648	0.07448631287
649	0.07439008713
650	0.07431712627
651	0.07421735287
652	0.07415927887
653	0.07404630184
654	0.0739692688
655	0.07387869835
656	0.07381875515
657	0.07373350143
658	0.07360941887
659	0.07353046417
660	0.07342229843
661	0.07331855774
662	0.07320546627
663	0.07315250874
664	0.07309194565
665	0.07298934937
666	0.07285545349
667	0.07277891159
668	0.07270546913
669	0.07264637947
670	0.07256755829
671	0.0725066185
672	0.07243411064
673	0.07233466625
674	0.07227934837
675	0.07221068382
676	0.07212046146
677	0.07201513767
678	0.07190356731
679	0.07180876732
680	0.07168758392
681	0.07163915157
682	0.07159236908
683	0.0715375042
684	0.07148622036
685	0.07138106346
686	0.07131997108
687	0.07127419472
688	0.07121897697
689	0.07116117477
690	0.07109558105
691	0.07099064827
692	0.07088107586
693	0.07078061104
694	0.07072275162
