iter	Passed	Remaining
0	83	83220
1	91	45884
2	102	34043
3	109	27183
4	118	23525
5	128	21359
6	136	19411
7	143	17845
8	151	16654
9	158	15720
10	166	14933
11	173	14299
12	177	13512
13	191	13473
14	200	13141
15	204	12605
16	210	12157
17	221	12103
18	225	11643
19	237	11632
20	239	11179
21	246	10954
22	252	10736
23	260	10592
24	265	10338
25	273	10236
26	284	10246
27	291	10116
28	299	10014
29	305	9874
30	316	9880
31	326	9890
32	335	9840
33	349	9926
34	361	9966
35	369	9884
36	380	9914
37	395	10024
38	400	9865
39	409	9839
40	423	9902
41	429	9788
42	436	9715
43	444	9655
44	450	9557
45	459	9531
46	465	9437
47	473	9389
48	479	9306
49	486	9249
50	494	9203
51	500	9117
52	504	9015
53	512	8976
54	517	8886
55	521	8788
56	526	8714
57	534	8675
58	544	8677
59	552	8656
60	558	8592
61	574	8697
62	587	8743
63	593	8674
64	600	8632
65	608	8609
66	614	8555
67	616	8453
68	620	8369
69	623	8283
70	629	8234
71	634	8182
72	643	8172
73	656	8209
74	665	8206
75	677	8232
76	683	8195
77	687	8127
78	690	8054
79	693	7979
80	697	7917
81	701	7858
82	705	7789
83	710	7744
84	713	7679
85	717	7628
86	722	7576
87	726	7525
88	730	7475
89	734	7423
90	737	7367
91	742	7326
92	751	7329
93	757	7303
94	763	7271
95	766	7218
96	772	7195
97	778	7163
98	782	7117
99	785	7070
100	790	7038
101	794	6994
102	800	6967
103	814	7018
104	829	7074
105	836	7059
106	848	7081
107	864	7140
108	886	7249
109	908	7354
110	917	7352
111	930	7379
112	953	7483
113	960	7467
114	971	7473
115	998	7610
116	1004	7579
117	1009	7548
118	1014	7507
119	1031	7566
120	1046	7604
121	1051	7570
122	1069	7623
123	1082	7649
124	1086	7608
125	1089	7556
126	1093	7513
127	1096	7467
128	1101	7438
129	1105	7395
130	1108	7355
131	1112	7316
132	1115	7274
133	1119	7236
134	1128	7229
135	1134	7206
136	1138	7171
137	1142	7137
138	1146	7102
139	1150	7064
140	1158	7058
141	1162	7026
142	1167	6993
143	1173	6974
144	1177	6942
145	1180	6906
146	1183	6868
147	1187	6836
148	1191	6807
149	1195	6776
150	1199	6742
151	1203	6716
152	1209	6698
153	1219	6698
154	1230	6706
155	1242	6721
156	1251	6722
157	1258	6707
158	1267	6703
159	1277	6706
160	1286	6702
161	1291	6680
162	1295	6653
163	1300	6627
164	1306	6611
165	1310	6586
166	1319	6581
167	1325	6565
168	1331	6546
169	1337	6531
170	1348	6535
171	1352	6510
172	1355	6480
173	1361	6462
174	1365	6435
175	1369	6409
176	1374	6391
177	1380	6377
178	1384	6352
179	1391	6339
180	1394	6311
181	1405	6316
182	1410	6296
183	1417	6285
184	1425	6277
185	1438	6296
186	1445	6286
187	1465	6329
188	1469	6303
189	1478	6304
190	1499	6349
191	1507	6344
192	1512	6323
193	1520	6315
