customer_id,churn_probability,actual_churn,predicted_churn,top_risk_drivers,recommendation
3533,0.9999699221063637,1,1,"frequency_drop, Age, frequency_ratio_current_total, loyalty_score, total_engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
221,0.9999627894572113,1,1,"frequency_drop, frequency_ratio_current_total, loyalty_score, Age, engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
3205,0.9999603132204429,1,1,"frequency_drop, Age, frequency_ratio_current_total, loyalty_score, total_engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
1821,0.9999582117111269,1,1,"frequency_drop, frequency_ratio_current_total, Age, loyalty_score, total_engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
3870,0.9999566446609937,1,1,"frequency_drop, frequency_ratio_current_total, Age, loyalty_score, total_engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
3247,0.999955194044764,1,1,"frequency_drop, frequency_ratio_current_total, loyalty_score, Age, engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
3876,0.9999542504965131,1,1,"frequency_drop, frequency_ratio_current_total, loyalty_score, Age, total_engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
46,0.9999537455749762,1,1,"frequency_drop, frequency_ratio_current_total, loyalty_score, Age, engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
2907,0.9999500536708816,1,1,"frequency_drop, frequency_ratio_current_total, Age, loyalty_score, engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
1204,0.9999472639410414,1,1,"frequency_drop, Age, loyalty_score, frequency_ratio_current_total, total_engagement_score",Send re-engagement campaign or free personal training session | Onboarding follow-up and habit-building support
