feature,importance,feature_type
frequency_drop,23.028688326170045,Engineered
Age,11.365623179017415,Original
loyalty_score,7.6618156662195185,Engineered
frequency_ratio_current_total,6.57413047469128,Engineered
engagement_score,5.856924516258932,Engineered
total_engagement_score,3.45580143892967,Engineered
log_lifetime,3.3436973813928366,Engineered
spending_per_month,3.2099810010855405,Engineered
Lifetime,3.1703978791183296,Original
log_additional_charges,2.930575641852418,Engineered
Month_to_end_contract,2.8987433267628755,Original
Avg_additional_charges_total,2.807408731692364,Original
log_frequency_current,2.406058064799169,Engineered
Avg_class_frequency_total,2.3360574420307287,Original
Avg_class_frequency_current_month,2.132666228929211,Original
log_frequency_total,2.027950069949586,Engineered
social_commitment_score,1.5814397747943176,Engineered
lifetime_per_contract,1.552774334591654,Engineered
convenience_score,1.4016341227575366,Engineered
Group_visits,1.2209658168663884,Original
Contract_period,1.0933803947393086,Original
is_new_customer,0.7765519051635548,Engineered
is_contract_ending,0.7222734199452062,Engineered
contract_remaining_ratio,0.6495383670789837,Engineered
renewal_pressure_score,0.6349991317869538,Engineered
gender,0.6110979593340738,Original
Partner,0.502525142639947,Original
is_loyal_customer,0.47563213496895224,Engineered
high_spending,0.4031208712747314,Engineered
Near_Location,0.37652557179361656,Original
far_no_group,0.36465103875055,Engineered
promo_group,0.29939224764966726,Engineered
Promo_friends,0.26096022623997356,Original
new_low_activity,0.2579137446453748,Engineered
partner_long_contract,0.22224724157604853,Engineered
low_spending,0.19920723036134969,Engineered
far_low_activity,0.17928516188108154,Engineered
no_group_low_activity,0.17475044865472691,Engineered
is_long_contract,0.168979968276515,Engineered
low_current_activity,0.13813884035273138,Engineered
short_contract_low_activity,0.133140554136263,Engineered
high_current_activity,0.11970033096245825,Engineered
ending_low_activity,0.09490621553891726,Engineered
no_contact_info,0.08649017960782707,Engineered
is_short_contract,0.04728037768347045,Engineered
Phone,0.043977877047882405,Original
