Experiment,Strategy,Model,Accuracy,Precision_1,Recall_1,F1_1,Macro_F1,ROC_AUC,PR_AUC
FE Only,No Handling,Random Forest,0.965,0.9554455445544554,0.910377358490566,0.9323671497584541,0.954379190393561,0.9884963419329996,0.9764050333780998
FE + Class Weight,Class Weight,Random Forest,0.965,0.96,0.9056603773584906,0.9320388349514563,0.9542349056912164,0.9885123860865102,0.9755007277765798
FE + RandomOverSampler,RandomOverSampler,XGBoost,0.96125,0.9289099526066351,0.9245283018867925,0.9267139479905437,0.9501879000785344,0.985584328070851,0.9719155764280649
FE + RandomOverSampler,RandomOverSampler,Random Forest,0.96125,0.9371980676328503,0.9150943396226415,0.9260143198090692,0.9498826891170664,0.9879107303298678,0.9738319296565741
FE Only,No Handling,XGBoost,0.96,0.9411764705882353,0.9056603773584906,0.9230769230769231,0.9480249480249481,0.9886086510075729,0.9757474670282569
FE Only,No Handling,CatBoost,0.96,0.9455445544554455,0.9009433962264151,0.9227053140096618,0.9478619318783554,0.9896194326787319,0.9784831531332512
FE + RandomOverSampler,RandomOverSampler,LightGBM,0.95875,0.9323671497584541,0.910377358490566,0.9212410501193318,0.9466493142213932,0.9895632781414452,0.9780284873679049
FE Only,No Handling,LightGBM,0.95875,0.9408866995073891,0.9009433962264151,0.9204819277108434,0.9463169132225102,0.9882637017070979,0.9754366698233842
FE + BorderlineSMOTE,BorderlineSMOTE,XGBoost,0.9575,0.9198113207547169,0.9198113207547169,0.9198113207547169,0.9454498780644334,0.9876299576434348,0.973821397280402
FE + ADASYN,ADASYN,XGBoost,0.9575,0.9198113207547169,0.9198113207547169,0.9198113207547169,0.9454498780644334,0.9862341162880246,0.9712712912726258
FE + Class Weight,Class Weight,CatBoost,0.95625,0.9078341013824884,0.9292452830188679,0.9184149184149184,0.9442629673201834,0.9898280066743678,0.9790653172904648
FE + RandomOverSampler,RandomOverSampler,CatBoost,0.95625,0.919431279620853,0.9150943396226415,0.91725768321513,0.9437605323467324,0.9904055962007444,0.9795706793904776
FE + SMOTE,SMOTE,XGBoost,0.95625,0.919431279620853,0.9150943396226415,0.91725768321513,0.9437605323467324,0.9868437941214221,0.9731689602123635
FE + SMOTE,SMOTE,LightGBM,0.95625,0.9234449760765551,0.910377358490566,0.9168646080760094,0.9435892166758334,0.9885284302400206,0.9753936277435089
FE + SMOTE,SMOTE,Random Forest,0.955,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.9425855634589009,0.987136599922988,0.9703253823902853
FE + SMOTE,SMOTE,CatBoost,0.955,0.9230769230769231,0.9056603773584906,0.9142857142857143,0.9418886198547216,0.9887610704659222,0.9775082548635146
FE + Class Weight,Class Weight,LightGBM,0.955,0.9230769230769231,0.9056603773584906,0.9142857142857143,0.9418886198547216,0.9878786420228469,0.9756054845623201
FE + ADASYN,ADASYN,Random Forest,0.95375,0.9032258064516129,0.9245283018867925,0.9137529137529138,0.9410779940241939,0.9870964895392119,0.9705207401889397
FE + BorderlineSMOTE,BorderlineSMOTE,CatBoost,0.9525,0.9027777777777778,0.9198113207547169,0.9112149532710281,0.9393958725399509,0.9894188807598512,0.978446692486857
FE + ADASYN,ADASYN,CatBoost,0.9525,0.9027777777777778,0.9198113207547169,0.9112149532710281,0.9393958725399509,0.9892905275317674,0.9784260254367576
FE + Class Weight,Class Weight,XGBoost,0.9525,0.9142857142857143,0.9056603773584906,0.909952606635071,0.9388472710594711,0.9875176485688615,0.9731195148723493
FE + ADASYN,ADASYN,LightGBM,0.95125,0.9061032863849765,0.910377358490566,0.908235294117647,0.9375219023779724,0.9879668848671543,0.9751879916231994
FE + BorderlineSMOTE,BorderlineSMOTE,Random Forest,0.94875,0.8868778280542986,0.9245283018867925,0.9053117782909931,0.9350894795482386,0.9874253946861764,0.9730714859471933
